,List,Markers
859,Hematopoietic stem cells,RP11-817J15.2
860,Hematopoietic stem cells,GREM2
861,Hematopoietic stem cells,TRGV2
862,Hematopoietic stem cells,CALN1
863,Hematopoietic stem cells,CTAG2
864,Hematopoietic stem cells,CDH19
865,Hematopoietic stem cells,CDK15
866,Hematopoietic stem cells,KLK14
867,Hematopoietic stem cells,TEX45
868,Hematopoietic stem cells,CST4
869,Hematopoietic stem cells,SLC5A5
870,Hillock-like,S100A2
871,Hillock-like,KRT6A
872,Hillock-like,S100A8
873,Hillock-like,S100A9
874,Hillock-like,KRT17
875,Hillock-like,IFITM3
876,Hillock-like,RHCG
877,Hillock-like,CDH19
878,Hillock-like,PPP1R15A
879,Hillock-like,CCL11
880,Hillock-like,OTC
881,Hillock-like,IFITM1
882,Hillock-like,KCNN2
883,Hillock-like,TYRP1
884,Hillock-like,LINC00636
885,Hillock-like,KRT14
886,Hillock-like,BMP6
887,Hillock-like,TPSG1
888,Hillock-like,LAMC3
889,Hillock-like,NFIA-AS2
890,Hillock-like,MMP9
891,Hillock-like,CALD1
892,Hillock-like,CD207
893,Hillock-like,TRGV2
894,Hillock-like,MIF
895,Hillock-like,HSPB3
896,Hillock-like,VEGFD
897,Hillock-like,KRT1
898,Hillock-like,TFF2
899,Hillock-like,SCT
900,Interstitial Mph perivascular,MRC1
901,Interstitial Mph perivascular,SRGN
902,Interstitial Mph perivascular,HLA-DRA
903,Interstitial Mph perivascular,HLA-DPA1
904,Interstitial Mph perivascular,HLA-DPB1
905,Interstitial Mph perivascular,MT2A
906,Interstitial Mph perivascular,SELENOP
907,Interstitial Mph perivascular,CCL11
908,Interstitial Mph perivascular,HLA-DRB1
909,Interstitial Mph perivascular,GPR182
910,Interstitial Mph perivascular,TPSG1
911,Interstitial Mph perivascular,TYRP1
912,Interstitial Mph perivascular,APLN
913,Interstitial Mph perivascular,GPR25
914,Interstitial Mph perivascular,BRINP3
915,Interstitial Mph perivascular,CDH19
916,Interstitial Mph perivascular,OTC
917,Interstitial Mph perivascular,AADACL2
918,Interstitial Mph perivascular,IFNG-AS1
919,Interstitial Mph perivascular,FDCSP
920,Interstitial Mph perivascular,NFIA-AS2
921,Interstitial Mph perivascular,RP11-501J20.5
922,Interstitial Mph perivascular,HSPB3
923,Interstitial Mph perivascular,EMP1
924,Interstitial Mph perivascular,CD74
925,Interstitial Mph perivascular,PAEP
926,Interstitial Mph perivascular,RP11-817J15.2
927,Interstitial Mph perivascular,LINC01638
928,Interstitial Mph perivascular,TIMP1
929,Interstitial Mph perivascular,GREM2
930,Ionocyte,OTC
931,Ionocyte,LINC00636
932,Ionocyte,GPR25
933,Ionocyte,MSI1
934,Ionocyte,STMN2
935,Ionocyte,LAMP5
936,Ionocyte,CD207
937,Ionocyte,RSPO1
938,Ionocyte,RP11-322E11.5
939,Ionocyte,TRGV2
940,Ionocyte,SPIC
941,Ionocyte,TPSG1
942,Ionocyte,LINC01393
943,Ionocyte,B4GALNT1
944,Ionocyte,CCL11
945,Ionocyte,TEX41
946,Ionocyte,CDH19
947,Ionocyte,HSPB3
948,Ionocyte,PACSIN1
949,Ionocyte,FOXI1
950,Ionocyte,NTRK1
951,Ionocyte,ROCR
952,Ionocyte,BPIFB2
953,Ionocyte,LINC02106
954,Ionocyte,CD1B
955,Ionocyte,RP11-817J15.2
956,Ionocyte,NFIA-AS2
957,Ionocyte,COMP
958,Ionocyte,DTX1
959,Ionocyte,JPH2
960,Lymphatic EC differentiating,CDH19
961,Lymphatic EC differentiating,LAMC3
962,Lymphatic EC differentiating,CCL11
963,Lymphatic EC differentiating,TYRP1
964,Lymphatic EC differentiating,LINC01705
965,Lymphatic EC differentiating,CD207
966,Lymphatic EC differentiating,TFF2
967,Lymphatic EC differentiating,TPSG1
968,Lymphatic EC differentiating,CD1B
969,Lymphatic EC differentiating,KCNN2
970,Lymphatic EC differentiating,PPFIBP1
971,Lymphatic EC differentiating,LINC01393
972,Lymphatic EC differentiating,BRINP3
973,Lymphatic EC differentiating,OTC
974,Lymphatic EC differentiating,COMP
975,Lymphatic EC differentiating,AMHR2
976,Lymphatic EC differentiating,CASQ2
977,Lymphatic EC differentiating,IFNG-AS1
978,Lymphatic EC differentiating,SH2D6
979,Lymphatic EC differentiating,TRGV2
980,Lymphatic EC differentiating,TNFSF11
981,Lymphatic EC differentiating,NTRK1
982,Lymphatic EC differentiating,MSI1
983,Lymphatic EC differentiating,SIGLEC6
984,Lymphatic EC differentiating,GATA5
985,Lymphatic EC differentiating,LINC01781
986,Lymphatic EC differentiating,LRRN4
987,Lymphatic EC differentiating,HPD
988,Lymphatic EC differentiating,CRLF2
989,Lymphatic EC differentiating,MYOC
990,Lymphatic EC mature,CCL21
991,Lymphatic EC mature,TFF3
992,Lymphatic EC mature,TFPI
993,Lymphatic EC mature,CLDN5
994,Lymphatic EC mature,RAMP2
995,Lymphatic EC mature,TRGV2
996,Lymphatic EC mature,MMRN1
997,Lymphatic EC mature,PPFIBP1
998,Lymphatic EC mature,CCL11
999,Lymphatic EC mature,GPR25
1000,Lymphatic EC mature,BPIFB2
1001,Lymphatic EC mature,IGFBP7
1002,Lymphatic EC mature,NTNG2
1003,Lymphatic EC mature,CDH19
1004,Lymphatic EC mature,SPIC
1005,Lymphatic EC mature,KRT1
1006,Lymphatic EC mature,CDK15
1007,Lymphatic EC mature,CACNA1C-AS2
1008,Lymphatic EC mature,MYOC
1009,Lymphatic EC mature,IDO2
1010,Lymphatic EC mature,COMP
1011,Lymphatic EC mature,BRINP3
1012,Lymphatic EC mature,HSPB3
1013,Lymphatic EC mature,S100A10
1014,Lymphatic EC mature,CLEC9A
1015,Lymphatic EC mature,TPSG1
1016,Lymphatic EC mature,SOX10
1017,Lymphatic EC mature,IGLC7
1018,Lymphatic EC mature,PAX5
1019,Lymphatic EC mature,CRLF2
1020,Lymphatic EC proliferating,TYRP1
1021,Lymphatic EC proliferating,CCL11
1022,Lymphatic EC proliferating,AMHR2
1023,Lymphatic EC proliferating,COMP
1024,Lymphatic EC proliferating,SEZ6L
1025,Lymphatic EC proliferating,CRHBP
1026,Lymphatic EC proliferating,NFIA-AS2
1027,Lymphatic EC proliferating,CD207
1028,Lymphatic EC proliferating,KCNN2
1029,Lymphatic EC proliferating,LINC01705
1030,Lymphatic EC proliferating,PAX5
1031,Lymphatic EC proliferating,CDH19
1032,Lymphatic EC proliferating,LINC01638
1033,Lymphatic EC proliferating,RSPO1
1034,Lymphatic EC proliferating,APLN
1035,Lymphatic EC proliferating,CLEC4O
1036,Lymphatic EC proliferating,SIGLEC6
1037,Lymphatic EC proliferating,CGREF1
1038,Lymphatic EC proliferating,RP11-826N14.8
1039,Lymphatic EC proliferating,IDO2
1040,Lymphatic EC proliferating,OTC
1041,Lymphatic EC proliferating,B3GNT6
1042,Lymphatic EC proliferating,TRH
1043,Lymphatic EC proliferating,MPIG6B
1044,Lymphatic EC proliferating,SH2D6
1045,Lymphatic EC proliferating,LINC00636
1046,Lymphatic EC proliferating,SPIC
1047,Lymphatic EC proliferating,CDK15
1048,Lymphatic EC proliferating,GFI1B
1049,Lymphatic EC proliferating,TMSB15A
1050,Mast cells,TPSAB1
1051,Mast cells,TPSB2
1052,Mast cells,NTRK1
1053,Mast cells,ADRA2C
1054,Mast cells,CRLF2
1055,Mast cells,RP11-322E11.5
1056,Mast cells,HDC
1057,Mast cells,CPA3
1058,Mast cells,CTD-2547H18.1
1059,Mast cells,CACNA1C-AS2
1060,Mast cells,AADACL2
1061,Mast cells,GATA5
1062,Mast cells,AMHR2
1063,Mast cells,CA3
1064,Mast cells,CD1B
1065,Mast cells,RP11-501J20.5
1066,Mast cells,PAEP
1067,Mast cells,ROCR
1068,Mast cells,BRINP3
1069,Mast cells,RAB3C
1070,Mast cells,ATP1A2
1071,Mast cells,NUGGC
1072,Mast cells,TPSG1
1073,Mast cells,SLC5A5
1074,Mast cells,SYT10
1075,Mast cells,XCR1
1076,Mast cells,ITPRID1
1077,Mast cells,TRH
1078,Mast cells,SOX10
1079,Mast cells,CST4
1080,Mesothelium,ITLN1
1081,Mesothelium,CALB2
1082,Mesothelium,PRG4
1083,Mesothelium,GALNT9
1084,Mesothelium,FDCSP
1085,Mesothelium,TRGV2
1086,Mesothelium,CCL11
1087,Mesothelium,HSPB3
1088,Mesothelium,AADACL2
1089,Mesothelium,COMP
1090,Mesothelium,TPSG1
1091,Mesothelium,DPYS
1092,Mesothelium,LINC00636
1093,Mesothelium,CLEC4O
1094,Mesothelium,SOX10
1095,Mesothelium,LRCOL1
1096,Mesothelium,OTC
1097,Mesothelium,CD207
1098,Mesothelium,CTSG
1099,Mesothelium,SMPX
1100,Mesothelium,CACNA1C-AS2
1101,Mesothelium,RSPO1
1102,Mesothelium,AVPR1A
1103,Mesothelium,KLK14
1104,Mesothelium,SIGLEC6
1105,Mesothelium,AMHR2
1106,Mesothelium,PAEP
1107,Mesothelium,TEX41
1108,Mesothelium,VIPR2
1109,Mesothelium,CDH19
1110,Migratory DCs,OTC
1111,Migratory DCs,NUGGC
1112,Migratory DCs,CRLF2
1113,Migratory DCs,SIGLEC6
1114,Migratory DCs,CCL19
1115,Migratory DCs,FDCSP
1116,Migratory DCs,CCL22
1117,Migratory DCs,AOC1
1118,Migratory DCs,TRGV2
1119,Migratory DCs,SMPX
1120,Migratory DCs,CDH19
1121,Migratory DCs,HPD
1122,Migratory DCs,STXBP5L
1123,Migratory DCs,TNFSF11
1124,Migratory DCs,AVPR1A
1125,Migratory DCs,EBF2
1126,Migratory DCs,RERGL
1127,Migratory DCs,KCNN2
1128,Migratory DCs,RUNDC3B
1129,Migratory DCs,BRINP3
1130,Migratory DCs,TFF2
1131,Migratory DCs,LINC01393
1132,Migratory DCs,LINC01705
1133,Migratory DCs,CTSG
1134,Migratory DCs,KCNK12
1135,Migratory DCs,MPIG6B
1136,Migratory DCs,CSDC2
1137,Migratory DCs,MYRFL
1138,Migratory DCs,CTAG2
1139,Migratory DCs,CALHM3
1140,Monocyte-derived Mph,VIM
1141,Monocyte-derived Mph,FTH1
1142,Monocyte-derived Mph,MTRNR2L8
1143,Monocyte-derived Mph,APOC1
1144,Monocyte-derived Mph,FOS
1145,Monocyte-derived Mph,MS4A1
1146,Monocyte-derived Mph,MT-ND1
1147,Monocyte-derived Mph,SFTPC
1148,Monocyte-derived Mph,ACP5
1149,Monocyte-derived Mph,RNASE1
1150,Monocyte-derived Mph,CD68
1151,Monocyte-derived Mph,RP11-501J20.5
1152,Monocyte-derived Mph,NEAT1
1153,Monocyte-derived Mph,CDH19
1154,Monocyte-derived Mph,SSUH2
1155,Monocyte-derived Mph,BRINP3
1156,Monocyte-derived Mph,TYROBP
1157,Monocyte-derived Mph,MT-ATP6
1158,Monocyte-derived Mph,MYOCD
1159,Monocyte-derived Mph,TRGV2
1160,Monocyte-derived Mph,EDNRB
1161,Monocyte-derived Mph,CSTB
1162,Monocyte-derived Mph,GPR182
1163,Monocyte-derived Mph,MTUS1
1164,Monocyte-derived Mph,C3
1165,Monocyte-derived Mph,HSD11B1
1166,Monocyte-derived Mph,KCNN2
1167,Monocyte-derived Mph,RP11-1143G9.4
1168,Monocyte-derived Mph,SCT
1169,Monocyte-derived Mph,LRCOL1
1170,Multiciliated (nasal),PSCA
1171,Multiciliated (nasal),CAPS
1172,Multiciliated (nasal),CRIP1
1173,Multiciliated (nasal),AQP3
1174,Multiciliated (nasal),RP11-356K23.1
1175,Multiciliated (nasal),KLK14
1176,Multiciliated (nasal),TYRP1
1177,Multiciliated (nasal),MSI1
1178,Multiciliated (nasal),SCT
1179,Multiciliated (nasal),HSPB3
1180,Multiciliated (nasal),HPD
1181,Multiciliated (nasal),SIGLEC6
1182,Multiciliated (nasal),LINC01638
1183,Multiciliated (nasal),CCL20
1184,Multiciliated (nasal),OMG
1185,Multiciliated (nasal),EBF2
1186,Multiciliated (nasal),MYOC
1187,Multiciliated (nasal),RP11-501J20.5
1188,Multiciliated (nasal),ST6GALNAC5
1189,Multiciliated (nasal),C15orf48
1190,Multiciliated (nasal),HOXA9
1191,Multiciliated (nasal),CXCR5
1192,Multiciliated (nasal),SEZ6L
1193,Multiciliated (nasal),CRHBP
1194,Multiciliated (nasal),RP11-817J15.2
1195,Multiciliated (nasal),LRRIQ1
1196,Multiciliated (nasal),STXBP5L
1197,Multiciliated (nasal),CTD-2531D15.4
1198,Multiciliated (nasal),RP11-322E11.5
1199,Multiciliated (nasal),MSMB
1200,Multiciliated (non-nasal),C20orf85
1201,Multiciliated (non-nasal),DNAAF1
1202,Multiciliated (non-nasal),GSTP1
1203,Multiciliated (non-nasal),FAM183A
1204,Multiciliated (non-nasal),AGR3
1205,Multiciliated (non-nasal),MUC16
1206,Multiciliated (non-nasal),MS4A8
1207,Multiciliated (non-nasal),PRDX5
1208,Multiciliated (non-nasal),DYNLL1
1209,Multiciliated (non-nasal),C9orf24
1210,Multiciliated (non-nasal),MT-ND6
1211,Multiciliated (non-nasal),C6
1212,Multiciliated (non-nasal),SCGB1A1
1213,Multiciliated (non-nasal),NEAT1
1214,Multiciliated (non-nasal),SYNE1
1215,Multiciliated (non-nasal),CAPS
1216,Multiciliated (non-nasal),C1orf194
1217,Multiciliated (non-nasal),MTRNR2L12
1218,Multiciliated (non-nasal),AADACL2
1219,Multiciliated (non-nasal),MT-ND5
1220,Multiciliated (non-nasal),THORLNC
1221,Multiciliated (non-nasal),TPPP3
1222,Multiciliated (non-nasal),SLPI
1223,Multiciliated (non-nasal),HSP90AA1
1224,Multiciliated (non-nasal),HOATZ
1225,Multiciliated (non-nasal),RSPH1
1226,Multiciliated (non-nasal),NOVA1
1227,Multiciliated (non-nasal),LRRIQ1
1228,Multiciliated (non-nasal),OTC
1229,Multiciliated (non-nasal),SPIC
1230,Myofibroblasts,OTC
1231,Myofibroblasts,UPK3A
1232,Myofibroblasts,PI15
1233,Myofibroblasts,RP11-322E11.5
1234,Myofibroblasts,ASPN
1235,Myofibroblasts,ATP1A2
1236,Myofibroblasts,CLEC4O
1237,Myofibroblasts,LINC02812
1238,Myofibroblasts,TRGV2
1239,Myofibroblasts,CTAG2
1240,Myofibroblasts,PRELP
1241,Myofibroblasts,SCT
1242,Myofibroblasts,MPIG6B
1243,Myofibroblasts,DTX1
1244,Myofibroblasts,CD207
1245,Myofibroblasts,LINC01781
1246,Myofibroblasts,C1QTNF7
1247,Myofibroblasts,MSI1
1248,Myofibroblasts,COMP
1249,Myofibroblasts,HPD
1250,Myofibroblasts,SPIC
1251,Myofibroblasts,TMSB15A
1252,Myofibroblasts,RP11-817J15.2
1253,Myofibroblasts,B3GNT6
1254,Myofibroblasts,PAX5
1255,Myofibroblasts,CDH19
1256,Myofibroblasts,TYRP1
1257,Myofibroblasts,RELN
1258,Myofibroblasts,HEMGN
1259,Myofibroblasts,RP11-501J20.5
1260,NK cells,TYROBP
1261,NK cells,NKG7
1262,NK cells,FCER1G
1263,NK cells,GNLY
1264,NK cells,CCL3
1265,NK cells,GZMB
1266,NK cells,HOPX
1267,NK cells,TMSB4X
1268,NK cells,CD7
1269,NK cells,OTC
1270,NK cells,GPR182
1271,NK cells,CD207
1272,NK cells,FDCSP
1273,NK cells,CDH19
1274,NK cells,KCNN2
1275,NK cells,PRF1
1276,NK cells,AVPR1A
1277,NK cells,CEROX1
1278,NK cells,CD247
1279,NK cells,HSPB3
1280,NK cells,CCL11
1281,NK cells,TYRP1
1282,NK cells,PACSIN1
1283,NK cells,RP11-322E11.5
1284,NK cells,PTGDS
1285,NK cells,FCGR3A
1286,NK cells,SMPX
1287,NK cells,NTRK1
1288,NK cells,MSMP
1289,NK cells,MYOCD
1290,Neuroendocrine,CRLF2
1291,Neuroendocrine,KLHDC8A
1292,Neuroendocrine,CCL11
1293,Neuroendocrine,PI15
1294,Neuroendocrine,CDH19
1295,Neuroendocrine,GPR25
1296,Neuroendocrine,NPTX1
1297,Neuroendocrine,JPH2
1298,Neuroendocrine,GATA5
1299,Neuroendocrine,KRT1
1300,Neuroendocrine,HSPB3
1301,Neuroendocrine,PAX5
1302,Neuroendocrine,CD207
1303,Neuroendocrine,TRGV2
1304,Neuroendocrine,DLL3
1305,Neuroendocrine,FOXS1
1306,Neuroendocrine,UPK3A
1307,Neuroendocrine,EGFLAM
1308,Neuroendocrine,ADCYAP1
1309,Neuroendocrine,SCT
1310,Neuroendocrine,SMPX
1311,Neuroendocrine,RP11-322E11.5
1312,Neuroendocrine,CRABP1
1313,Neuroendocrine,ENOX1
1314,Neuroendocrine,TFF2
1315,Neuroendocrine,HPD
1316,Neuroendocrine,NFIA-AS2
1317,Neuroendocrine,SEZ6L
1318,Neuroendocrine,KCNK12
1319,Neuroendocrine,VGF
1320,Non-classical monocytes,C1QA
1321,Non-classical monocytes,C1QB
1322,Non-classical monocytes,C1QC
1323,Non-classical monocytes,FABP4
1324,Non-classical monocytes,SAT1
1325,Non-classical monocytes,IFITM3
1326,Non-classical monocytes,AIF1
1327,Non-classical monocytes,CTSS
1328,Non-classical monocytes,FABP5
1329,Non-classical monocytes,SPIC
1330,Non-classical monocytes,FCGR3A
1331,Non-classical monocytes,IFITM2
1332,Non-classical monocytes,MT2A
1333,Non-classical monocytes,CD52
1334,Non-classical monocytes,KCNN2
1335,Non-classical monocytes,APLN
1336,Non-classical monocytes,FMO1
1337,Non-classical monocytes,FCER1G
1338,Non-classical monocytes,RP11-501J20.5
1339,Non-classical monocytes,HSPB3
1340,Non-classical monocytes,NFIA-AS2
1341,Non-classical monocytes,TFF2
1342,Non-classical monocytes,LST1
1343,Non-classical monocytes,COMP
1344,Non-classical monocytes,CLEC4O
1345,Non-classical monocytes,HOXD9
1346,Non-classical monocytes,IGLV3-1
1347,Non-classical monocytes,LINC01638
1348,Non-classical monocytes,GPR182
1349,Non-classical monocytes,RP11-84E17.1
1350,Peribronchial fibroblasts,A2M
1351,Peribronchial fibroblasts,OTC
1352,Peribronchial fibroblasts,FBLN1
1353,Peribronchial fibroblasts,MGP
1354,Peribronchial fibroblasts,ADGRG3
1355,Peribronchial fibroblasts,IFNG-AS1
1356,Peribronchial fibroblasts,LUM
1357,Peribronchial fibroblasts,CALN1
1358,Peribronchial fibroblasts,CD1B
1359,Peribronchial fibroblasts,CRABP1
1360,Peribronchial fibroblasts,MSMP
1361,Peribronchial fibroblasts,BPIFB2
1362,Peribronchial fibroblasts,RP11-501J20.5
1363,Peribronchial fibroblasts,TPSG1
1364,Peribronchial fibroblasts,CTSG
1365,Peribronchial fibroblasts,PWWP3B
1366,Peribronchial fibroblasts,PACSIN1
1367,Peribronchial fibroblasts,ROCR
1368,Peribronchial fibroblasts,LINC01393
1369,Peribronchial fibroblasts,KLK14
1370,Peribronchial fibroblasts,AMHR2
1371,Peribronchial fibroblasts,APLN
1372,Peribronchial fibroblasts,SH2D6
1373,Peribronchial fibroblasts,LGALS12
1374,Peribronchial fibroblasts,CDK6-AS1
1375,Peribronchial fibroblasts,PAX5
1376,Peribronchial fibroblasts,AC104024.1
1377,Peribronchial fibroblasts,NTRK1
1378,Peribronchial fibroblasts,GPR182
1379,Peribronchial fibroblasts,TMSB15A
1380,Pericytes,AADACL2
1381,Pericytes,COMP
1382,Pericytes,BRINP3
1383,Pericytes,GREM2
1384,Pericytes,TRGV2
1385,Pericytes,OTC
1386,Pericytes,SPIC
1387,Pericytes,PAEP
1388,Pericytes,LINC00636
1389,Pericytes,AMHR2
1390,Pericytes,SSUH2
1391,Pericytes,PTN
1392,Pericytes,MYOC
1393,Pericytes,TFF2
1394,Pericytes,GATA5
1395,Pericytes,CACNA1C-AS2
1396,Pericytes,PDGFRB
1397,Pericytes,B3GNT6
1398,Pericytes,KLK14
1399,Pericytes,LINC01638
1400,Pericytes,MPIG6B
1401,Pericytes,APLN
1402,Pericytes,CD207
1403,Pericytes,CCL11
1404,Pericytes,GPR25
1405,Pericytes,RP11-817J15.2
1406,Pericytes,TPSD1
1407,Pericytes,CTD-2547H18.1
1408,Pericytes,FDCSP
1409,Pericytes,SMPX
1410,Plasma cells,JCHAIN
1411,Plasma cells,IGKC
1412,Plasma cells,IGHGP
1413,Plasma cells,IFNG-AS1
1414,Plasma cells,NUGGC
1415,Plasma cells,CDH19
1416,Plasma cells,MZB1
1417,Plasma cells,OTC
1418,Plasma cells,CD1B
1419,Plasma cells,IGKV1-12
1420,Plasma cells,IGKV4-1
1421,Plasma cells,GPR25
1422,Plasma cells,TRH
1423,Plasma cells,IGLL5
1424,Plasma cells,ZNF215
1425,Plasma cells,JPH2
1426,Plasma cells,FDCSP
1427,Plasma cells,RP11-501J20.5
1428,Plasma cells,TFF2
1429,Plasma cells,HSPB3
1430,Plasma cells,TRGV2
1431,Plasma cells,MYOC
1432,Plasma cells,AVPR1A
1433,Plasma cells,BPIFB2
1434,Plasma cells,LINC02362
1435,Plasma cells,AADACL2
1436,Plasma cells,CCL11
1437,Plasma cells,CDK15
1438,Plasma cells,CD207
1439,Plasma cells,MSI1
1440,Plasmacytoid DCs,SCT
1441,Plasmacytoid DCs,SHD
1442,Plasmacytoid DCs,GZMB
1443,Plasmacytoid DCs,LAMP5
1444,Plasmacytoid DCs,CDK15
1445,Plasmacytoid DCs,RP11-501J20.5
1446,Plasmacytoid DCs,TFF2
1447,Plasmacytoid DCs,TPSG1
1448,Plasmacytoid DCs,OTC
1449,Plasmacytoid DCs,AADACL2
1450,Plasmacytoid DCs,KLK14
1451,Plasmacytoid DCs,NTRK1
1452,Plasmacytoid DCs,CALN1
1453,Plasmacytoid DCs,NFIA-AS2
1454,Plasmacytoid DCs,DGKB
1455,Plasmacytoid DCs,IFNG-AS1
1456,Plasmacytoid DCs,ADRA2C
1457,Plasmacytoid DCs,APLN
1458,Plasmacytoid DCs,SPIC
1459,Plasmacytoid DCs,B4GALNT1
1460,Plasmacytoid DCs,SH2D6
1461,Plasmacytoid DCs,CLEC4C
1462,Plasmacytoid DCs,GPC2
1463,Plasmacytoid DCs,CLEC4O
1464,Plasmacytoid DCs,LRCOL1
1465,Plasmacytoid DCs,RP11-826N14.8
1466,Plasmacytoid DCs,CCL11
1467,Plasmacytoid DCs,LRRN4
1468,Plasmacytoid DCs,SEZ6L
1469,Plasmacytoid DCs,CDH19
1470,SM activated stress response,TRGV2
1471,SM activated stress response,CRLF2
1472,SM activated stress response,TYRP1
1473,SM activated stress response,ATF3
1474,SM activated stress response,LINC01393
1475,SM activated stress response,STXBP5L
1476,SM activated stress response,RP11-501J20.5
1477,SM activated stress response,ADAMTS1
1478,SM activated stress response,OTC
1479,SM activated stress response,AMHR2
1480,SM activated stress response,B4GALNT1
1481,SM activated stress response,KRT1
1482,SM activated stress response,TPSG1
1483,SM activated stress response,SIGLEC6
1484,SM activated stress response,GPR25
1485,SM activated stress response,APLN
1486,SM activated stress response,SCT
1487,SM activated stress response,PAEP
1488,SM activated stress response,ROCR
1489,SM activated stress response,KCNK12
1490,SM activated stress response,CST4
1491,SM activated stress response,UPK3A
1492,SM activated stress response,ATP1B2
1493,SM activated stress response,PON1
1494,SM activated stress response,ITPRID1
1495,SM activated stress response,CCL11
1496,SM activated stress response,TCL1A
1497,SM activated stress response,PTCHD1
1498,SM activated stress response,BMP6
1499,SM activated stress response,CALHM3
1500,SMG duct,SCGB3A1
1501,SMG duct,CD207
1502,SMG duct,TCN1
1503,SMG duct,LCN2
1504,SMG duct,CLU
1505,SMG duct,OTC
1506,SMG duct,TRGV2
1507,SMG duct,FDCSP
1508,SMG duct,LINC01638
1509,SMG duct,CTSG
1510,SMG duct,SLPI
1511,SMG duct,BRINP3
1512,SMG duct,RP11-322E11.5
1513,SMG duct,CDK15
1514,SMG duct,GFI1B
1515,SMG duct,LRCOL1
1516,SMG duct,TPSG1
1517,SMG duct,KRT7
1518,SMG duct,KCNN2
1519,SMG duct,NTRK1
1520,SMG duct,AADACL2
1521,SMG duct,RAB3C
1522,SMG duct,LINC00636
1523,SMG duct,SIGLEC6
1524,SMG duct,RERGL
1525,SMG duct,GPR182
1526,SMG duct,APLN
1527,SMG duct,EPGN
1528,SMG duct,KRT1
1529,SMG duct,FOXN4
1530,SMG mucous,BPIFB2
1531,SMG mucous,MUC5B
1532,SMG mucous,OTC
1533,SMG mucous,CCL11
1534,SMG mucous,RP11-501J20.5
1535,SMG mucous,CD207
1536,SMG mucous,KLK14
1537,SMG mucous,UPP2
1538,SMG mucous,FOXS1
1539,SMG mucous,TYRP1
1540,SMG mucous,SCT
1541,SMG mucous,CST4
1542,SMG mucous,KCNN2
1543,SMG mucous,SLC5A5
1544,SMG mucous,SIGLEC6
1545,SMG mucous,ITGA11
1546,SMG mucous,ADGRG3
1547,SMG mucous,MYBPC1
1548,SMG mucous,IGKV3-15
1549,SMG mucous,LAMC3
1550,SMG mucous,GREM2
1551,SMG mucous,CLEC4O
1552,SMG mucous,JPH2
1553,SMG mucous,TPSG1
1554,SMG mucous,CTD-2547H18.1
1555,SMG mucous,CD1B
1556,SMG mucous,HPD
1557,SMG mucous,NTRK1
1558,SMG mucous,LINC00636
1559,SMG mucous,ANKRD1
1560,SMG serous (bronchial),PRR4
1561,SMG serous (bronchial),LYZ
1562,SMG serous (bronchial),LTF
1563,SMG serous (bronchial),OTC
1564,SMG serous (bronchial),AZGP1
1565,SMG serous (bronchial),SCGB3A1
1566,SMG serous (bronchial),HSPB3
1567,SMG serous (bronchial),RP11-501J20.5
1568,SMG serous (bronchial),RP11-1143G9.4
1569,SMG serous (bronchial),LINC01638
1570,SMG serous (bronchial),CALN1
1571,SMG serous (bronchial),NTRK1
1572,SMG serous (bronchial),KCNN2
1573,SMG serous (bronchial),GPR182
1574,SMG serous (bronchial),GPC2
1575,SMG serous (bronchial),APIP
1576,SMG serous (bronchial),CDK15
1577,SMG serous (bronchial),LINC00636
1578,SMG serous (bronchial),TRGV2
1579,SMG serous (bronchial),CTSG
1580,SMG serous (bronchial),SIGLEC6
1581,SMG serous (bronchial),CLCNKA
1582,SMG serous (bronchial),TYRP1
1583,SMG serous (bronchial),TNFSF11
1584,SMG serous (bronchial),SH2D6
1585,SMG serous (bronchial),CDH19
1586,SMG serous (bronchial),S100B
1587,SMG serous (bronchial),TRH
1588,SMG serous (bronchial),FAM162B
1589,SMG serous (bronchial),PON1
1590,SMG serous (nasal),STATH
1591,SMG serous (nasal),BPIFA1
1592,SMG serous (nasal),ZG16B
1593,SMG serous (nasal),CDH19
1594,SMG serous (nasal),CCL11
1595,SMG serous (nasal),COMP
1596,SMG serous (nasal),TPSG1
1597,SMG serous (nasal),EPGN
1598,SMG serous (nasal),TRH
1599,SMG serous (nasal),KLK14
1600,SMG serous (nasal),SNORC
1601,SMG serous (nasal),OTC
1602,SMG serous (nasal),TEX41
1603,SMG serous (nasal),TRGV2
1604,SMG serous (nasal),CLDN10
1605,SMG serous (nasal),C4B
1606,SMG serous (nasal),UPK3A
1607,SMG serous (nasal),TYRP1
1608,SMG serous (nasal),RAB3C
1609,SMG serous (nasal),FGF12
1610,SMG serous (nasal),SPINK14
1611,SMG serous (nasal),CDK15
1612,SMG serous (nasal),CRHBP
1613,SMG serous (nasal),SIX3-AS1
1614,SMG serous (nasal),PAX5
1615,SMG serous (nasal),GPR25
1616,SMG serous (nasal),BPIFB3
1617,SMG serous (nasal),DAB1
1618,SMG serous (nasal),AVPR1A
1619,SMG serous (nasal),LRCOL1
1620,Smooth muscle,TAGLN
1621,Smooth muscle,ACTA2
1622,Smooth muscle,CALD1
1623,Smooth muscle,GPR25
1624,Smooth muscle,PLAC9
1625,Smooth muscle,IGFBP7
1626,Smooth muscle,TFF2
1627,Smooth muscle,AADACL2
1628,Smooth muscle,SOX10
1629,Smooth muscle,RP11-501J20.5
1630,Smooth muscle,KRT1
